Source,Target,Weight,Type
AL-epis_Cicero.adattic,AL-epis_Cicero.adbrutum,29,undirected
AL-epis_Cicero.adattic,AL-epis_Cicero.adfam,65,undirected
AL-epis_Cicero.adattic,AL-epis_Cicero.adfrat,56,undirected
AL-epis_Cicero.adattic,NL-epis_Alii.baricev-aa-epist,1,undirected
AL-epis_Cicero.adattic,NL-epis_Lipsius.epist,2,undirected
AL-epis_Cicero.adbrutum,AL-epis_Cicero.adattic,29,undirected
AL-epis_Cicero.adbrutum,AL-epis_Cicero.adfam,45,undirected
AL-epis_Cicero.adbrutum,AL-epis_Cicero.adfrat,11,undirected
AL-epis_Cicero.adbrutum,AL-orat_Cicero.cluentio,1,undirected
AL-epis_Cicero.adbrutum,AL-orat_Cicero.marc,2,undirected
AL-epis_Cicero.adbrutum,AL-orat_Cicero.philippicae,7,undirected
AL-epis_Cicero.adbrutum,AL-orat_Cicero.plancio,1,undirected
AL-epis_Cicero.adbrutum,AL-phil_Cicero.leg,5,undirected
AL-epis_Cicero.adbrutum,NL-phil_Descartes.Meditationes,1,undirected
AL-epis_Cicero.adfam,AL-epis_Cicero.adattic,65,undirected
AL-epis_Cicero.adfam,AL-epis_Cicero.adbrutum,45,undirected
AL-epis_Cicero.adfam,AL-epis_Cicero.adfrat,42,undirected
AL-epis_Cicero.adfam,AL-orat_Cicero.plancio,7,undirected
AL-epis_Cicero.adfam,AL-phil_Cicero.fin,1,undirected
AL-epis_Cicero.adfam,ML-phil_Abelardus.Ethica,1,undirected
AL-epis_Cicero.adfam,NL-phil_Descartes.Regulae,1,undirected
AL-epis_Cicero.adfrat,AL-epis_Cicero.adattic,56,undirected
AL-epis_Cicero.adfrat,AL-epis_Cicero.adbrutum,11,undirected
AL-epis_Cicero.adfrat,AL-epis_Cicero.adfam,42,undirected
AL-epis_Cicero.adfrat,AL-orat_Cicero.plancio,1,undirected
AL-epis_Cicero.adfrat,NL-epis_Lipsius.epist,1,undirected
AL-epis_Hieronymus.epistulae,AL-epis_Sidonius.epistulae,20,undirected
AL-epis_Hieronymus.epistulae,AL-fict_Petronius.sat,4,undirected
AL-epis_Hieronymus.epistulae,ML-poes_Alii.carmbur,8,undirected
AL-epis_Hieronymus.epistulae,NL-epis_Erasmus.epist,5,undirected
AL-epis_Hieronymus.epistulae,NL-epis_Lipsius.epist,6,undirected
AL-epis_Hieronymus.epistulae,NL-epis_Petrarca.epistextrav,6,undirected
AL-epis_Hieronymus.epistulae,NL-epis_Petrarca.epistfam,2,undirected
AL-epis_Hieronymus.epistulae,NL-poes_Balde.poemata,18,undirected
AL-epis_Hieronymus.epistulae,NL-theo_EncyclXXc.PiusXI_casti,1,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-hist_Tacitus.tac.dialogus,4,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-orat_Anonymus.o-anon-paneg,3,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-orat_Plinius Minor.pliny.panegyricus,24,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-phil_Apuleius.apuleius.apol,8,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-tech_Anonymus.t-anon-adnLuc,1,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-tech_Columella.rustica,3,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-theo_Arnobius.advnat,3,undirected
AL-epis_Plinius_Minor.plinius-ep,NL-epis_Erasmus.epist,3,undirected
AL-epis_Plinius_Minor.plinius-ep,NL-epis_Lipsius.epist,29,undirected
AL-epis_Plinius_Minor.plinius-ep,NL-epis_Vossius.epistol,20,undirected
AL-epis_Plinius_Minor.plinius-ep,NL-phil_Morus.more,4,undirected
AL-epis_Plinius_Minor.plinius-ep,NL-tech_Erasmus.derecta,1,undirected
AL-epis_Plinius_Minor.plinius-ep,NL-tech_Masen.palaesstyl,11,undirected
AL-epis_Sallustius.sall-ep,AL-hist_Sallustius.sall.cat,46,undirected
AL-epis_Sallustius.sall-ep,AL-hist_Sallustius.sall.jug,21,undirected
AL-epis_Sallustius.sall-ep,AL-tech_Aulus Gellius.NocAtt,3,undirected
AL-epis_Sallustius.sall-ep,NL-phil_Alii.andreis-f-sylla,7,undirected
AL-epis_Sallustius.sall-ep,NL-poes_Alii.zamagna-b-echo,2,undirected
AL-epis_Sidonius.epistulae,AL-epis_Hieronymus.epistulae,20,undirected
AL-epis_Sidonius.epistulae,AL-epis_Symmachus.e-sym-epist,21,undirected
AL-epis_Sidonius.epistulae,AL-orat_Anonymus.o-anon-paneg,9,undirected
AL-epis_Sidonius.epistulae,AL-poes_Ausonius.OpusculaOmnia,7,undirected
AL-epis_Sidonius.epistulae,AL-tech_Quintilianus.decl.mai,2,undirected
AL-epis_Sidonius.epistulae,ML-epis_PetrusDeVinea.AlimPetrusDeVineaEpistoleStravangantiEAltriComponimenti.rtf,15,undirected
AL-epis_Sidonius.epistulae,NL-epis_Alii.baricev-aa-epist,3,undirected
AL-epis_Sidonius.epistulae,NL-epis_Lipsius.epist,7,undirected
AL-epis_Sidonius.epistulae,NL-epis_Petrarca.epistfam,3,undirected
AL-epis_Sidonius.epistulae,NL-epis_Piccolomini.ep,10,undirected
AL-epis_Sidonius.epistulae,NL-fict_Erasmus.lausstul,6,undirected
AL-epis_Sidonius.epistulae,NL-phil_Morus.more,2,undirected
AL-epis_Sidonius.epistulae,NL-poes_Balde.poemata,22,undirected
AL-epis_Symmachus.e-sym-epist,AL-epis_Sidonius.epistulae,21,undirected
AL-epis_Symmachus.e-sym-epist,AL-phil_Apuleius.apuleius.deosocratis,2,undirected
AL-epis_Symmachus.e-sym-epist,AL-poes_Catullus.catullus,2,undirected
AL-epis_Symmachus.e-sym-epist,AL-theo_Boethius.De_fide_catholica,3,undirected
AL-epis_Symmachus.e-sym-epist,NL-epis_Alii.andreis-f-epist,3,undirected
AL-epis_Symmachus.e-sym-epist,NL-epis_Erasmus.epist,1,undirected
AL-epis_Symmachus.e-sym-epist,NL-epis_Lipsius.epist,32,undirected
AL-epis_Symmachus.e-sym-epist,NL-epis_Vossius.epistol,12,undirected
AL-epis_Symmachus.e-sym-epist,NL-fict_Alii.Corvinus-lat-yde,6,undirected
AL-fict_Apuleius.metamorph,AL-fict_Petronius.sat,5,undirected
AL-fict_Apuleius.metamorph,AL-poes_Ovidius.met,6,undirected
AL-fict_Apuleius.metamorph,AL-poes_Prudentius.psych,1,undirected
AL-fict_Apuleius.metamorph,AL-poes_Prudentius.sym,2,undirected
AL-fict_Apuleius.metamorph,AL-poes_Statius.achil,3,undirected
AL-fict_Apuleius.metamorph,AL-poes_Statius.theb,16,undirected
AL-fict_Apuleius.metamorph,ML-poes_Waltharius Manu Fortis.walt,8,undirected
AL-fict_Apuleius.metamorph,NL-poes_Balde.poemata,26,undirected
AL-fict_Apuleius.metamorph,NL-poes_Bargeo.carmapp,3,undirected
AL-fict_Hyginus.FABVLAE,AL-hist_Aurelius Victor.DeVirisIllustribus,7,undirected
AL-fict_Hyginus.FABVLAE,AL-hist_Dares.deexcid,8,undirected
AL-fict_Hyginus.FABVLAE,AL-hist_HistAug.sepsev,1,undirected
AL-fict_Hyginus.FABVLAE,AL-tech_Frontinus.stratagemata,6,undirected
AL-fict_Hyginus.FABVLAE,ML-fict_MythographiVaticani.MythVatI,31,undirected
AL-fict_Hyginus.FABVLAE,ML-fict_MythographiVaticani.MythVatII,15,undirected
AL-fict_Hyginus.FABVLAE,NL-hist_Lhomand.lhomond.viris,4,undirected
AL-fict_Hyginus.FABVLAE,NL-hist_Thuanus.histsuitemp,3,undirected
AL-fict_Petronius.sat,AL-epis_Hieronymus.epistulae,4,undirected
AL-fict_Petronius.sat,AL-fict_Apuleius.metamorph,5,undirected
AL-fict_Petronius.sat,AL-hist_Tacitus.tac.dialogus,2,undirected
AL-fict_Petronius.sat,AL-orat_Anonymus.o-anon-paneg,6,undirected
AL-fict_Petronius.sat,AL-poes_Phaedrus.fabulae,1,undirected
AL-fict_Petronius.sat,AL-tech_Quintilianus.decl.mai,42,undirected
AL-fict_Petronius.sat,AL-tech_Seneca Maior.controv,28,undirected
AL-fict_Petronius.sat,AL-tech_Seneca Maior.seneca.suasoriae,3,undirected
AL-fict_Petronius.sat,NL-epis_Erasmus.epist,4,undirected
AL-fict_Petronius.sat,NL-poes_Balde.poemata,2,undirected
AL-fict_Petronius.sat,NL-tech_Masen.palaesstyl,2,undirected
AL-hist_Ammianus.hist,AL-hist_Aurelius Victor.DeCaesaribusEpitome,5,undirected
AL-hist_Ammianus.hist,AL-hist_Dictys.h-dict-bellTroi,3,undirected
AL-hist_Ammianus.hist,AL-hist_HistAug.com,8,undirected
AL-hist_Ammianus.hist,AL-hist_HistAug.probus,2,undirected
AL-hist_Ammianus.hist,AL-hist_IuliusValerius.h-iul-res,1,undirected
AL-hist_Ammianus.hist,AL-hist_Lactantius.DeMortibusPersecutorum,1,undirected
AL-hist_Ammianus.hist,AL-hist_Orosius.hist,21,undirected
AL-hist_Ammianus.hist,AL-hist_Solinus.demirabilibus,16,undirected
AL-hist_Ammianus.hist,AL-hist_Suetonius.vitae,7,undirected
AL-hist_Ammianus.hist,AL-hist_Tacitus.ann,25,undirected
AL-hist_Ammianus.hist,AL-hist_Tacitus.his,22,undirected
AL-hist_Ammianus.hist,AL-tech_Frontinus.aqua,1,undirected
AL-hist_Ammianus.hist,AL-tech_Frontinus.stratagemata,6,undirected
AL-hist_Ammianus.hist,AL-tech_Justinianus.codex,7,undirected
AL-hist_Ammianus.hist,AL-tech_Pomponius Mela.chor,3,undirected
AL-hist_Ammianus.hist,AL-tech_Theodosius.codex,16,undirected
AL-hist_Ammianus.hist,AL-theo_Boethius.De_fide_catholica,13,undirected
AL-hist_Ammianus.hist,ML-epis_Austriaci.EPISTOLAE AUSTRASICAE SELECTAE,3,undirected
AL-hist_Ammianus.hist,ML-hist_Alii.ABBO FLORACENSIS,2,undirected
AL-hist_Ammianus.hist,ML-hist_Alii.AlimAlphanusArchepSalernVitaStChristVirg,27,undirected
AL-hist_Ammianus.hist,ML-hist_Alii.AlimArnulfLiberGestorumRecentium,9,undirected
AL-hist_Ammianus.hist,ML-hist_Alii.AlimPassioArialdi,11,undirected
AL-hist_Ammianus.hist,ML-hist_Alii.anonymus-obsidio-iadrensis,1,undirected
AL-hist_Ammianus.hist,ML-hist_Alii.MalaspinaRerSic,1,undirected
AL-hist_Ammianus.hist,ML-hist_Alii.RICHERI HISTORIARUM LIBRI QUATUOR,21,undirected
AL-hist_Ammianus.hist,ML-hist_Alii.VitaeSancGenReg,2,undirected
AL-hist_Ammianus.hist,ML-hist_Cosmas Pragensis.chron,1,undirected
AL-hist_Ammianus.hist,ML-hist_Nithard.historiae,12,undirected
AL-hist_Ammianus.hist,NL-epis_Alii.banic-j-epist-1513,21,undirected
AL-hist_Ammianus.hist,NL-epis_Alii.sisak-epist,18,undirected
AL-hist_Ammianus.hist,NL-hist_Alii.baric-a-stat,2,undirected
AL-hist_Ammianus.hist,NL-hist_Alii.brodaric-s-mohach,2,undirected
AL-hist_Ammianus.hist,NL-hist_Alii.cipiko-k-petri,3,undirected
AL-hist_Ammianus.hist,NL-hist_Alii.krcelic-b-ann-add,1,undirected
AL-hist_Ammianus.hist,NL-hist_Alii.rattkay-i-tarahum,18,undirected
AL-hist_Ammianus.hist,NL-hist_Alii.sisgor-g-de-situ,2,undirected
AL-hist_Ammianus.hist,NL-hist_Orlandini.histSocIes,15,undirected
AL-hist_Ammianus.hist,NL-orat_Alii.andreis-f-thurc-germ,6,undirected
AL-hist_Ammianus.hist,NL-orat_Alii.pribojev-v-or,26,undirected
AL-hist_Ammianus.hist,NL-tech_Alii.marul-mar-in-epigr,2,undirected
AL-hist_Ammianus.hist,NL-tech_Bene.ElemMedPrac,3,undirected
AL-hist_Ammianus.hist,NL-tech_DellaPorta.DeMagNat,10,undirected
AL-hist_Anonymus.bellafr,AL-hist_Anonymus.bellum alexandrinum,15,undirected
AL-hist_Anonymus.bellafr,AL-hist_Anonymus.hisp,9,undirected
AL-hist_Anonymus.bellafr,AL-hist_Caesar.bc,30,undirected
AL-hist_Anonymus.bellafr,AL-hist_Caesar.gall,40,undirected
AL-hist_Anonymus.bellafr,AL-hist_Livius.aburbecond,1,undirected
AL-hist_Anonymus.bellafr,AL-tech_Frontinus.stratagemata,17,undirected
AL-hist_Anonymus.bellum alexandrinum,AL-hist_Anonymus.bellafr,15,undirected
AL-hist_Anonymus.bellum alexandrinum,AL-hist_Anonymus.hisp,2,undirected
AL-hist_Anonymus.bellum alexandrinum,AL-hist_Aurelius Victor.DeOrigineGentisRomanae,2,undirected
AL-hist_Anonymus.bellum alexandrinum,AL-hist_Caesar.bc,46,undirected
AL-hist_Anonymus.bellum alexandrinum,AL-hist_Caesar.gall,50,undirected
AL-hist_Anonymus.bellum alexandrinum,AL-hist_Livius.aburbecond,4,undirected
AL-hist_Anonymus.bellum alexandrinum,AL-hist_Nepos.devir,6,undirected
AL-hist_Anonymus.bellum alexandrinum,AL-tech_Frontinus.stratagemata,1,undirected
AL-hist_Anonymus.bellum alexandrinum,NL-theo_EncyclXXc.PiusXII_orientales,2,undirected
AL-hist_Anonymus.hisp,AL-hist_Anonymus.bellafr,9,undirected
AL-hist_Anonymus.hisp,AL-hist_Anonymus.bellum alexandrinum,2,undirected
AL-hist_Anonymus.hisp,AL-hist_Caesar.bc,24,undirected
AL-hist_Anonymus.hisp,AL-hist_Caesar.gall,10,undirected
AL-hist_Anonymus.hisp,AL-tech_Frontinus.stratagemata,7,undirected
AL-hist_Anonymus.hisp,NL-hist_Thuanus.histsuitemp,14,undirected
AL-hist_Aurelius Victor.DeCaesaribusEpitome,AL-hist_Ammianus.hist,5,undirected
AL-hist_Aurelius Victor.DeCaesaribusEpitome,AL-hist_Aurelius Victor.DeCaesaribusHistAbbr,21,undirected
AL-hist_Aurelius Victor.DeCaesaribusEpitome,AL-hist_Aurelius Victor.DeVirisIllustribus,21,undirected
AL-hist_Aurelius Victor.DeCaesaribusEpitome,AL-hist_Orosius.hist,9,undirected
AL-hist_Aurelius Victor.DeCaesaribusEpitome,AL-hist_Suetonius.vitae,12,undirected
AL-hist_Aurelius Victor.DeCaesaribusEpitome,AL-hist_Sulpicius Severus.chronica,2,undirected
AL-hist_Aurelius Victor.DeCaesaribusEpitome,AL-hist_Tacitus.ann,18,undirected
AL-hist_Aurelius Victor.DeCaesaribusEpitome,ML-hist_Alii.AlimArnulfLiberGestorumRecentium,2,undirected
AL-hist_Aurelius Victor.DeCaesaribusEpitome,ML-hist_Alii.MARCELLINI COMITIS V,3,undirected
AL-hist_Aurelius Victor.DeCaesaribusEpitome,NL-hist_Alii.tubero-comm-rhac,5,undirected
AL-hist_Aurelius Victor.DeCaesaribusEpitome,NL-orat_Alii.andreis-f-thurc-germ,2,undirected
AL-hist_Aurelius Victor.DeCaesaribusEpitome,NL-poes_Alii.feric-d-periegesis,1,undirected
AL-hist_Aurelius Victor.DeCaesaribusHistAbbr,AL-hist_Aurelius Victor.DeCaesaribusEpitome,21,undirected
AL-hist_Aurelius Victor.DeCaesaribusHistAbbr,AL-hist_Dictys.h-dict-bellTroi,8,undirected
AL-hist_Aurelius Victor.DeCaesaribusHistAbbr,AL-hist_Suetonius.vitae,2,undirected
AL-hist_Aurelius Victor.DeCaesaribusHistAbbr,AL-hist_Tacitus.ann,29,undirected
AL-hist_Aurelius Victor.DeCaesaribusHistAbbr,AL-hist_Tacitus.his,6,undirected
AL-hist_Aurelius Victor.DeCaesaribusHistAbbr,NL-hist_Alii.tubero-comm,2,undirected
AL-hist_Aurelius Victor.DeCaesaribusHistAbbr,NL-poes_Alii.feric-d-periegesis,2,undirected
AL-hist_Aurelius Victor.DeCaesaribusHistAbbr,NL-poes_Celtis.amores,1,undirected
AL-hist_Aurelius Victor.DeOrigineGentisRomanae,AL-hist_Anonymus.bellum alexandrinum,2,undirected
AL-hist_Aurelius Victor.DeOrigineGentisRomanae,AL-hist_Sulpicius Severus.chronica,11,undirected
AL-hist_Aurelius Victor.DeOrigineGentisRomanae,AL-hist_Velleius.hist,1,undirected
AL-hist_Aurelius Victor.DeOrigineGentisRomanae,ML-fict_MythographiVaticani.MythVatI,5,undirected
AL-hist_Aurelius Victor.DeOrigineGentisRomanae,NL-hist_Alii.tubero-comm-rhac,1,undirected
AL-hist_Aurelius Victor.DeOrigineGentisRomanae,NL-hist_Lhomand.lhomond.viris,22,undirected
AL-hist_Aurelius Victor.DeOrigineGentisRomanae,NL-hist_Orlandini.histSocIes,18,undirected
AL-hist_Aurelius Victor.DeOrigineGentisRomanae,NL-hist_Thuanus.histsuitemp,3,undirected
AL-hist_Aurelius Victor.DeOrigineGentisRomanae,NL-theo_EncyclXXc.PiusXII_orientales,3,undirected
AL-hist_Aurelius Victor.DeVirisIllustribus,AL-fict_Hyginus.FABVLAE,7,undirected
AL-hist_Aurelius Victor.DeVirisIllustribus,AL-hist_Aurelius Victor.DeCaesaribusEpitome,21,undirected
AL-hist_Aurelius Victor.DeVirisIllustribus,AL-hist_Eutropius.brev,8,undirected
AL-hist_Aurelius Victor.DeVirisIllustribus,AL-hist_Orosius.hist,5,undirected
AL-hist_Aurelius Victor.DeVirisIllustribus,AL-tech_Frontinus.stratagemata,8,undirected
AL-hist_Aurelius Victor.DeVirisIllustribus,ML-fict_MythographiVaticani.MythVatI,15,undirected
AL-hist_Aurelius Victor.DeVirisIllustribus,ML-fict_MythographiVaticani.MythVatII,5,undirected
AL-hist_Aurelius Victor.DeVirisIllustribus,ML-hist_Alii.chronregCol,3,undirected
AL-hist_Aurelius Victor.DeVirisIllustribus,ML-hist_Alii.RICHERI HISTORIARUM LIBRI QUATUOR,2,undirected
AL-hist_Aurelius Victor.DeVirisIllustribus,ML-hist_AnonymousValesianus.origo,4,undirected
AL-hist_Aurelius Victor.DeVirisIllustribus,ML-hist_Fredegarius.chron,3,undirected
AL-hist_Aurelius Victor.DeVirisIllustribus,NL-hist_Alii.marul-mar-vir-ill,6,undirected
AL-hist_Aurelius Victor.DeVirisIllustribus,NL-hist_Lhomand.lhomond.viris,26,undirected
AL-hist_Caesar.bc,AL-hist_Anonymus.bellafr,30,undirected
AL-hist_Caesar.bc,AL-hist_Anonymus.bellum alexandrinum,46,undirected
AL-hist_Caesar.bc,AL-hist_Anonymus.hisp,24,undirected
AL-hist_Caesar.bc,AL-hist_Caesar.gall,63,undirected
AL-hist_Caesar.bc,AL-hist_Dictys.h-dict-bellTroi,2,undirected
AL-hist_Caesar.bc,NL-hist_Alii.cipiko-k-petri,4,undirected
AL-hist_Caesar.bc,NL-hist_Alii.krcelic-b-ann,1,undirected
AL-hist_Caesar.bc,NL-hist_Biggs.biggs,1,undirected
AL-hist_Caesar.bc,NL-hist_Orlandini.histSocIes,3,undirected
AL-hist_Caesar.gall,AL-hist_Anonymus.bellafr,40,undirected
AL-hist_Caesar.gall,AL-hist_Anonymus.bellum alexandrinum,50,undirected
AL-hist_Caesar.gall,AL-hist_Anonymus.hisp,10,undirected
AL-hist_Caesar.gall,AL-hist_Caesar.bc,63,undirected
AL-hist_Caesar.gall,AL-hist_Dictys.h-dict-bellTroi,3,undirected
AL-hist_Caesar.gall,AL-hist_Livius.aburbecond,2,undirected
AL-hist_Caesar.gall,AL-hist_Nepos.devir,2,undirected
AL-hist_Cicero.brut,AL-hist_HistAug.triginta,2,undirected
AL-hist_Cicero.brut,AL-orat_Cicero.marc,1,undirected
AL-hist_Cicero.brut,AL-orat_Cicero.philippicae,15,undirected
AL-hist_Cicero.brut,AL-phil_Cicero.rep,30,undirected
AL-hist_Cicero.brut,AL-phil_Cicero.senectute,5,undirected
AL-hist_Cicero.brut,AL-tech_Cicero.deoratore,17,undirected
AL-hist_Cicero.brut,NL-theo_Alii.marul-mar-inst,1,undirected
AL-hist_Curtius Rufus.hist,AL-hist_Hegesippus.h-heg-hist,31,undirected
AL-hist_Curtius Rufus.hist,AL-hist_Iustinus.hist,6,undirected
AL-hist_Curtius Rufus.hist,AL-hist_Livius.aburbecond,32,undirected
AL-hist_Curtius Rufus.hist,AL-hist_Sulpicius Severus.chronica,2,undirected
AL-hist_Curtius Rufus.hist,AL-hist_Valerius Maximus.factorum,19,undirected
AL-hist_Curtius Rufus.hist,NL-hist_Alii.brodaric-s-mohach,18,undirected
AL-hist_Curtius Rufus.hist,NL-hist_Alii.cipiko-k-petri,1,undirected
AL-hist_Curtius Rufus.hist,NL-hist_Alii.tubero-comm,8,undirected
AL-hist_Curtius Rufus.hist,NL-hist_Lhomand.lhomond.viris,1,undirected
AL-hist_Curtius Rufus.hist,NL-hist_Orlandini.histSocIes,22,undirected
AL-hist_Dares.deexcid,AL-fict_Hyginus.FABVLAE,8,undirected
AL-hist_Dares.deexcid,AL-hist_HistAug.marcant,3,undirected
AL-hist_Dares.deexcid,AL-tech_Frontinus.stratagemata,5,undirected
AL-hist_Dares.deexcid,ML-hist_Alii.AlimPassioArialdi,2,undirected
AL-hist_Dares.deexcid,ML-hist_Alii.FREDEGARII SCHOLASTICI CHRONICUM CUM SUIS CONTINUATORIBUS,2,undirected
AL-hist_Dares.deexcid,ML-hist_Lambertus Hersfeldensis.annales,1,undirected
AL-hist_Dares.deexcid,NL-hist_Lhomand.lhomond.viris,27,undirected
AL-hist_Dares.deexcid,NL-hist_Thuanus.histsuitemp,20,undirected
AL-hist_Dictys.h-dict-bellTroi,AL-hist_Ammianus.hist,3,undirected
AL-hist_Dictys.h-dict-bellTroi,AL-hist_Aurelius Victor.DeCaesaribusHistAbbr,8,undirected
AL-hist_Dictys.h-dict-bellTroi,AL-hist_Caesar.bc,2,undirected
AL-hist_Dictys.h-dict-bellTroi,AL-hist_Caesar.gall,3,undirected
AL-hist_Dictys.h-dict-bellTroi,AL-hist_Livius.aburbecond,16,undirected
AL-hist_Dictys.h-dict-bellTroi,AL-hist_Tacitus.ann,17,undirected
AL-hist_Dictys.h-dict-bellTroi,ML-hist_Alii.AlimSimeonisMonachiVita,2,undirected
AL-hist_Dictys.h-dict-bellTroi,NL-hist_Alii.cipiko-k-petri,4,undirected
AL-hist_Dictys.h-dict-bellTroi,NL-hist_Alii.tubero-comm,1,undirected
AL-hist_Dictys.h-dict-bellTroi,NL-hist_Orlandini.histSocIes,16,undirected
AL-hist_Egeria.per,AL-hist_Gregory of Tours.octomir,8,undirected
AL-hist_Egeria.per,AL-vulg_Vulgata.2Rg,3,undirected
AL-hist_Egeria.per,AL-vulg_Vulgata.Jdc,2,undirected
AL-hist_Egeria.per,AL-vulg_Vulgata.Nm,1,undirected
AL-hist_Egeria.per,ML-hist_Alii.VITA CAROLI IV,4,undirected
AL-hist_Egeria.per,ML-hist_Alii.VitaeSancGenReg,20,undirected
AL-hist_Egeria.per,ML-hist_GestaFrancorum.gesta,1,undirected
AL-hist_Egeria.per,ML-hist_Otto Frisingensis.ges,3,undirected
AL-hist_Egeria.per,ML-hist_Venerable Bede.histeccl,1,undirected
AL-hist_Egeria.per,ML-hist_Zamorensis.leg,19,undirected
AL-hist_Egeria.per,ML-theo_Alexander Minorita.exposApocal,4,undirected
AL-hist_Eugippius.Vita_Sancti_Severini,AL-hist_Gregory of Tours.octomir,20,undirected
AL-hist_Eugippius.Vita_Sancti_Severini,ML-hist_Alii.ABBO FLORACENSIS,6,undirected
AL-hist_Eugippius.Vita_Sancti_Severini,ML-hist_Alii.AlimSimeonisMonachiVita,22,undirected
AL-hist_Eugippius.Vita_Sancti_Severini,ML-hist_Alii.chronCatLang,4,undirected
AL-hist_Eugippius.Vita_Sancti_Severini,ML-hist_Alii.HUGO FALCANDUS LIBER DE REGNO SICILIE,4,undirected
AL-hist_Eugippius.Vita_Sancti_Severini,ML-hist_Alii.VitaeSancGenReg,25,undirected
AL-hist_Eugippius.Vita_Sancti_Severini,ML-hist_Lambertus Hersfeldensis.annales,1,undirected
AL-hist_Eugippius.Vita_Sancti_Severini,ML-hist_Venerable Bede.histeccl,11,undirected
AL-hist_Eutropius.brev,AL-hist_Aurelius Victor.DeVirisIllustribus,8,undirected
AL-hist_Eutropius.brev,AL-hist_Orosius.hist,31,undirected
AL-hist_Eutropius.brev,ML-fict_MythographiVaticani.MythVatI,3,undirected
AL-hist_Eutropius.brev,ML-hist_Alii.ERCHEMPERT HISTORIA LANGABARDORVM BENEVENTARNORVM,6,undirected
AL-hist_Eutropius.brev,ML-hist_Alii.ZONARAS - HISTORIAE ROMANORUM EXCERPTA,9,undirected
AL-hist_Eutropius.brev,ML-hist_Fredegarius.chron,1,undirected
AL-hist_Eutropius.brev,NL-hist_Alii.baric-a-stat,1,undirected
AL-hist_Eutropius.brev,NL-hist_Lhomand.lhomond.viris,17,undirected
AL-hist_Eutropius.brev,NL-tech_Maurolycius.arithm,2,undirected
AL-hist_Florus.epit,AL-hist_Iustinus.hist,1,undirected
AL-hist_Florus.epit,AL-hist_Orosius.hist,24,undirected
AL-hist_Florus.epit,AL-hist_Sulpicius Severus.chronica,2,undirected
AL-hist_Florus.epit,AL-hist_Tacitus.ann,2,undirected
AL-hist_Florus.epit,AL-hist_Tacitus.his,23,undirected
AL-hist_Florus.epit,AL-hist_Velleius.hist,5,undirected
AL-hist_Florus.epit,NL-hist_Boccaccio.casvirill,3,undirected
AL-hist_Florus.epit,NL-hist_Petrarca.virill,12,undirected
AL-hist_Florus.epit,NL-phil_Jaures.deprimis,3,undirected
AL-hist_Gregory of Tours.historiae,AL-hist_Gregory of Tours.octomir,66,undirected
AL-hist_Gregory of Tours.historiae,AL-hist_HistAug.triginta,1,undirected
AL-hist_Gregory of Tours.historiae,AL-vulg_Vulgata.2Mcc,7,undirected
AL-hist_Gregory of Tours.historiae,ML-hist_Alii.AlimAndreasStrumensisPassioArialdi,5,undirected
AL-hist_Gregory of Tours.historiae,ML-hist_Alii.AlimPassioArialdi,4,undirected
AL-hist_Gregory of Tours.historiae,ML-hist_Alii.Chronicon Salernitanum,5,undirected
AL-hist_Gregory of Tours.historiae,ML-hist_Alii.VitaColumbae1,2,undirected
AL-hist_Gregory of Tours.historiae,ML-hist_Alii.VitaeSancGenReg,5,undirected
AL-hist_Gregory of Tours.historiae,ML-hist_Alii.WIDUKINDI RES GESTAE SAXONICAE,18,undirected
AL-hist_Gregory of Tours.historiae,ML-hist_Paulus Diaconus.historiae,48,undirected
AL-hist_Gregory of Tours.historiae,ML-hist_Voragine.legaur,6,undirected
AL-hist_Gregory of Tours.historiae,ML-hist_Zamorensis.leg,6,undirected
AL-hist_Gregory of Tours.historiae,NL-fict_Bebelius.facetIII,5,undirected
AL-hist_Gregory of Tours.historiae,NL-hist_Alii.marul-mar-vir-ill,2,undirected
AL-hist_Gregory of Tours.historiae,NL-hist_Buchanan.buchanan,1,undirected
AL-hist_Gregory of Tours.octomir,AL-hist_Egeria.per,8,undirected
AL-hist_Gregory of Tours.octomir,AL-hist_Eugippius.Vita_Sancti_Severini,20,undirected
AL-hist_Gregory of Tours.octomir,AL-hist_Gregory of Tours.historiae,66,undirected
AL-hist_Gregory of Tours.octomir,AL-hist_Sulpicius Severus.VitaMartini,7,undirected
AL-hist_Gregory of Tours.octomir,ML-hist_Alii.AlimAndreasStrumensisPassioArialdi,22,undirected
AL-hist_Gregory of Tours.octomir,ML-hist_Alii.AlimChronMichClusin,4,undirected
AL-hist_Gregory of Tours.octomir,ML-hist_Alii.AlimPassioArialdi,2,undirected
AL-hist_Gregory of Tours.octomir,ML-hist_Alii.AlimPetDamItinere,11,undirected
AL-hist_Gregory of Tours.octomir,ML-hist_Alii.AlimPetrusDamVitaRomualdi,13,undirected
AL-hist_Gregory of Tours.octomir,ML-hist_Alii.AlimSimeonisMonachiVita,15,undirected
